"Timestamp","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Sunday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Monday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Tuesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Wednesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Thursday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Friday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Saturday]","How far do you travel to purchase day-to-day goods? (Choose all that apply)","What type of stores do you most often visit to purchase day-to-day goods? (Choose all that apply)","What is the quantity of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)","What is the value of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)"
"2018/06/25 9:21:46 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Less than 1km","Supermarkets","Less than 5 items","Less than 500 rupees"
"2018/06/25 9:36:52 PM GMT+5:30","","Night (after 7pm)","","","","Night (after 7pm)","","Less than 1km","Supermarkets","More than 20 items","1000 - 2000 rupees"
"2018/06/25 9:38:22 PM GMT+5:30","Daytime (11am - 3pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Daytime (11am - 3pm)","Between 1km - 5km","Supermarkets","5 - 10 items","500 - 1000 rupees"
"2018/06/25 9:42:59 PM GMT+5:30","Evening (4pm - 7pm)","Morning (until 11am)","","Morning (until 11am)","","Night (after 7pm)","","Less than 1km;Between 1km - 5km","Supermarkets","5 - 10 items","500 - 1000 rupees"
"2018/06/25 9:56:09 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","5 - 10 items","More than 2000 rupees"
"2018/06/25 9:58:13 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Morning (until 11am)","Morning (until 11am)","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/25 10:15:23 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 10:35:05 PM GMT+5:30","","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 10:41:33 PM GMT+5:30","","","","","Night (after 7pm)","Night (after 7pm)","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 11:16:14 PM GMT+5:30","Evening (4pm - 7pm)","","Daytime (11am - 3pm)","","Evening (4pm - 7pm)","","","Less than 1km","Supermarkets","5 - 10 items","More than 2000 rupees"
"2018/06/26 12:30:14 AM GMT+5:30","Morning (until 11am);Evening (4pm - 7pm)","","","","","","Morning (until 11am);Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","Less than 5 items","1000 - 2000 rupees"
"2018/06/26 2:02:56 AM GMT+5:30","","","","","","","","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/26 3:33:10 AM GMT+5:30","","","","","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/26 5:31:50 AM GMT+5:30","","Evening (4pm - 7pm)","","","","Evening (4pm - 7pm)","","Less than 1km;Between 1km - 5km","Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/26 5:56:57 AM GMT+5:30","Daytime (11am - 3pm);Evening (4pm - 7pm)","","","","","","Daytime (11am - 3pm);Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/26 6:26:07 AM GMT+5:30","","Night (after 7pm)","","Night (after 7pm)","","","","Less than 1km;Between 1km - 5km","Supermarkets","Less than 5 items","500 - 1000 rupees"
"2018/06/26 7:03:27 AM GMT+5:30","Evening (4pm - 7pm)","","","Evening (4pm - 7pm)","","","","Between 1km - 5km","Supermarkets;Grocery stores","10 - 20 items","1000 - 2000 rupees"
"2018/06/26 7:11:47 AM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets","10 - 20 items","1000 - 2000 rupees"
"2018/06/26 7:56:49 AM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","More than 20 items","More than 2000 rupees"
"2018/06/26 8:00:29 AM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Morning (until 11am)","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/26 8:00:44 AM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Morning (until 11am)","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/26 8:35:06 AM GMT+5:30","Morning (until 11am)","","","","","","Evening (4pm - 7pm)","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","More than 20 items","More than 2000 rupees"
"2018/06/26 8:37:09 AM GMT+5:30","","","","","","","Morning (until 11am)","Less than 1km","Supermarkets","More than 20 items","Less than 500 rupees"
"2018/06/26 9:01:53 AM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Morning (until 11am)","Less than 1km","Supermarkets;Grocery stores","More than 20 items","More than 2000 rupees"
"2018/06/26 9:23:04 AM GMT+5:30","Morning (until 11am);Evening (4pm - 7pm)","","","","","","Daytime (11am - 3pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/26 9:33:29 AM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/26 10:16:21 AM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Evening (4pm - 7pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/26 10:48:25 AM GMT+5:30","","","","","","","Daytime (11am - 3pm)","Between 1km - 5km","Grocery stores","10 - 20 items","More than 2000 rupees"
"2018/06/26 10:57:24 AM GMT+5:30","Morning (until 11am);Evening (4pm - 7pm)","","","","","","Morning (until 11am);Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/26 10:59:10 AM GMT+5:30","Daytime (11am - 3pm)","","","","","Evening (4pm - 7pm)","Morning (until 11am)","Between 1km - 5km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/26 11:21:15 AM GMT+5:30","","","","","","","Morning (until 11am)","Between 1km - 5km","Supermarkets","Less than 5 items","Less than 500 rupees"
"2018/06/26 12:05:34 PM GMT+5:30","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/26 1:15:59 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Morning (until 11am)","Between 1km - 5km","Grocery stores","Less than 5 items","Less than 500 rupees"
"2018/06/26 2:17:49 PM GMT+5:30","Evening (4pm - 7pm);Night (after 7pm)","","","","","","Evening (4pm - 7pm);Night (after 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","10 - 20 items","More than 2000 rupees"
